V [mL];0.1 M NaOH TitrationEQP1 E
1.4;17.9
1.6;18.91
1.8;16.88
2;15.53
2.2;13.82
2.4;13.9
2.6;14.65
2.8;15.65
3;14.08
3.2;13.56
3.4;13.63
3.6;13.02
3.8;13.66
4;13.89
4.2;14.95
4.4;14.43
4.6;13.94
4.8;13.88
5;14.2
5.2;14.29
5.4;14.79
5.6;16.97
5.8;18.08
6;19.99
6.2;23.53
6.4;27.83
6.6;34.27
6.8;43.54
6.992;62.71
7.13;88.97
7.257;138.4
7.31;174.73
7.3855;266.98
7.411;331.54
7.431;382.07
7.4755;559.82
7.4955;661.99
7.5155;893.22
7.5355;928.93
7.5555;860.69
7.5755;625.74
7.5955;500.94
7.6385;270.03
7.6715;178.8
7.6975;166.21
7.7625;108.54
7.7825;110.46
7.8325;89.43
7.8725;76.84
7.9725;63.04
8.0735;50.3
8.267;36.45
8.467;27.4
8.667;21.29
8.867;17.81
9.067;15.03

